OID,fid_1,id,tree_cat,Name_Tree_,Photo,Descriptio,Date,in_avgtemp,in_avghum,ot_avgtemp,ot_avghum,tree_den,build_den,dis_to_bui,dis_to_wat,lat,long
-1,6283,26,10,sukhchain tree,C:\Users\jadoo\Downloads\nust_22.jpg,moraceae,17/02/2024 0:00,27.8071995,35.7015991,25.2185993,44.7304993,3868.5,0,170.8560028,543.1970215,33.64518075,72.98303987
-1,6284,26,10,sukhchain tree,C:\Users\jadoo\Downloads\nust_22.jpg,moraceae,17/02/2024 0:00,27.8071995,35.7015991,25.2185993,44.7304993,3868.5,0,170.8560028,543.1970215,33.64515852,72.98302423
-1,6285,26,10,sukhchain tree,C:\Users\jadoo\Downloads\nust_22.jpg,moraceae,17/02/2024 0:00,27.8071995,35.7015991,25.2187004,44.7397003,3868.5,0,170.8560028,543.1970215,33.64513232,72.98300879
-1,6286,26,10,sukhchain tree,C:\Users\jadoo\Downloads\nust_22.jpg,moraceae,17/02/2024 0:00,27.8071995,35.7015991,25.2187004,44.7397003,2836.899902,0,177.0529938,543.8579712,33.64510592,72.98298937
-1,6287,26,10,sukhchain tree,C:\Users\jadoo\Downloads\nust_22.jpg,moraceae,17/02/2024 0:00,27.8071995,35.7000008,25.1938,44.8718987,2836.899902,0,177.0529938,543.8579712,33.64507719,72.98297086
-1,6288,26,10,sukhchain tree,C:\Users\jadoo\Downloads\nust_22.jpg,moraceae,17/02/2024 0:00,27.8071995,35.7000999,25.1935997,44.8825989,2836.899902,0,177.0529938,543.8579712,33.64503889,72.98295202
-1,6289,26,10,sukhchain tree,C:\Users\jadoo\Downloads\nust_22.jpg,moraceae,17/02/2024 0:00,27.8071995,35.7000999,25.1935997,44.8825989,2664.969971,0,174.7550049,537.6290283,33.64500691,72.98293207
-1,6290,26,10,sukhchain tree,C:\Users\jadoo\Downloads\nust_22.jpg,moraceae,17/02/2024 0:00,27.8071995,35.7000999,25.1935997,44.8825989,2664.969971,0,174.7550049,537.6290283,33.64497564,72.98291051
-1,6291,26,10,sukhchain tree,C:\Users\jadoo\Downloads\nust_22.jpg,moraceae,17/02/2024 0:00,27.8071995,35.7000008,25.1930008,44.8953018,2493.040039,0,172.9470062,531.4959717,33.64494374,72.98292556
-1,6292,26,10,sukhchain tree,C:\Users\jadoo\Downloads\nust_22.jpg,moraceae,17/02/2024 0:00,27.8071995,35.6988983,25.1688004,45.0265007,2407.070068,0,184.0180054,544.8480225,33.64494365,72.98289056
